word,IPA
අග්නිදිග,ʌ ɡ n̪ i d̪ i ɡ ə
අග්නිමානය,ʌ ɡ n̪ i m aː n̪ ʌ j ə
අග්නිමිතිය,ʌ ɡ n̪ i m i t̪ i j ə
අග්නිවිද්‍යුතය,ʌ ɡ n̪ i ʋ i d̪ ‍ j u t̪ ʌ j ə
අග්නිහෝමය,ʌ ɡ n̪ i h oː m ʌ j ə
අග්‍රකෘතිය,ʌ ɡ ‍ r ʌ k ʌ ෘ t̪ i j ə
අග්‍රගණ්‍ය,ʌ ɡ ‍ r ʌ ɡ ʌ ɳ ‍ j ə
අග්‍රඡේදනය,ʌ ɡ ‍ r ʌ ʧʰ eː d̪ ʌ n̪ ʌ j ə
අග්‍රජන්‍ය,ʌ ɡ ‍ r ʌ ʤ ʌ n̪ ‍ j ə
අග්‍රදූතයා,ʌ ɡ ‍ r ʌ d̪ uː t̪ ʌ j
අග්‍රබාහුව,ʌ ɡ ‍ r ʌ b aː h u ʋ ə
අග්‍රය,ʌ ɡ ‍ r ʌ j ə
අග්‍රවර්ධි,ʌ ɡ ‍ r ʌ ʋ ʌ r d̪ʱ i
අග්‍රස්ථානය,ʌ ɡ ‍ r ʌ s t̪ʰ aː n̪ ʌ j ə
අග්‍රස්ථ,ʌ ɡ ‍ r ʌ s t̪ʰ ə
අග්‍රාමාත්‍යයා,ʌ ɡ ‍ r aː m aː t̪ ‍ j ʌ j
අග්‍රිමය,ʌ ɡ ‍ r i m ʌ j ə
අග්‍රේෂයේ,ʌ ɡ ‍ r eː ʂ ʌ j eː
අග්‍ර,ʌ ɡ ‍ r ə
අගාධමිතික,ʌ ɡ aː d̪ʱ ʌ m i t̪ i k ə
අගාධය,ʌ ɡ aː d̪ʱ ʌ j ə
අගාධවාසී,ʌ ɡ aː d̪ʱ ʌ ʋ a s iː
අගාධසමුද්‍ර,ʌ ɡ aː d̪ʱ ʌ s ʌ m u d̪ ‍ r ə
අගාධ,ʌ ɡ aː d̪ʱ ə
අගාරික,ʌ ɡ aː r i k ə
අගාලුව,ʌ ɡ aː l u ʋ ə
අගැයූ,ʌ ɡ æ j uː
අගිල්,ʌ ɡ i l
අගිස්ස,ʌ ɡ i s s ə
අගුණ,ʌ ɡ u ɳ ə
අගුල,ʌ ɡ u l ə
අගුව,ʌ ɡ u ʋ ə
අගුළුලනවා,ʌ ɡ u ɭ u l ʌ n̪ ə ʋ a
අගුළ,ʌ ɡ u ɭ ə
අගෙයි,ʌ ɡ e j i
අගෝචර,ʌ ɡ oː ʧ ʌ r ə
අගෞරවය,ʌ ɡ au r ʌ ʋ ʌ j ə
අගෞරව,ʌ ɡ au r ʌ ʋ ə
අග,ʌ ɡ ə
අඝෝෂ,ʌ ɡʱ oː ʂ ə
අඟරදඟරය,ʌ ŋɡ ʌ r ʌ d̪ ʌ ŋɡ ʌ r ʌ j ə
අඟල,ʌ ŋɡ ʌ l ə
අඟවනවා,ʌ ŋɡ ʌ ʋ ʌ n̪ ə ʋ a
අඟවන,ʌ ŋɡ ʌ ʋ ʌ n̪ ə
අඟහරු,ʌ ŋɡ ʌ h ʌ r u
අඟුටුමිට්ටා,ʌ ŋɡ u ʈ u m i ʈ ʈ
අඟුටුමිටි,ʌ ŋɡ u ʈ u m i ʈ i
අඟුටුවීම,ʌ ŋɡ u ʈ u ʋ iː m ə
අඟුටු,ʌ ŋɡ u ʈ u
අඟුරු,ʌ ŋɡ u r u
අඟුලුවා,ʌ ŋɡ u l u ʋ a
අඟුල,ʌ ŋɡ u l ə
අඟුළුලනවා,ʌ ŋɡ u ɭ u l ʌ n̪ ə ʋ a
අඟෙහි,ʌ ŋɡ e h i
අඟ,ʌ ŋɡ ə
අචක්‍රීය,ʌ ʧ ʌ k ‍ r iː j ə
අචලතාව,ʌ ʧ ʌ l ʌ t̪ aː ʋ ə
අචල්‍යතාව,ʌ ʧ ʌ l ‍ j ʌ t̪ aː ʋ ə
අචල,ʌ ʧ ʌ l ə
අච්චාරුවක්,ʌ ʧ ʧ aː r u ʋ ʌ k
අච්චාරු,ʌ ʧ ʧ aː r u
අච්චුගසනවා,ʌ ʧ ʧ u ɡ ʌ s ʌ n̪ ə ʋ a
අච්චුව,ʌ ʧ ʧ u ʋ ə
අච්චු,ʌ ʧ ʧ u
අච්ඡින්න,ʌ ʧ ʧʰ i n̪ n̪ ə
අචින්ත්‍යතාව,ʌ ʧ i n̪ t̪ ‍ j ʌ t̪ aː ʋ ə
අචින්ත්‍ය,ʌ ʧ i n̪ t̪ ‍ j ə
අචේතනික,ʌ ʧ eː t̪ ʌ n̪ i k ə
අචේතන,ʌ ʧ eː t̪ ʌ n̪ ə
අජංගම,ʌ ʤ ʌ ɡ ʌ m ə
අජටාකාශගාමියා,ʌ ʤ ʌ ʈ aː k aː ʃ ʌ ɡ aː m i j
අජපාල,ʌ ʤ ʌ p aː l ə
අජර,ʌ ʤ ʌ r ə
අජ්විපරිණාමය,ʌ ʤ ʋ i p ʌ r i ɳ aː m ʌ j ə
අජීර්ණමය,ʌ ʤ iː r ɳ ʌ m ʌ j ə
අජීර්ණය,ʌ ʤ iː r ɳ ʌ j ə
අජීවී,ʌ ʤ iː ʋ iː
අජීව,ʌ ʤ iː ʋ ə
අජ,ʌ ʤ ə
අඥයා,ʌ ɡn ʌ j
අඥාත,ʌ ɡn aː t̪ ə
අඥානයා,ʌ ɡn aː n̪ ʌ j
අඥානය,ʌ ɡn aː n̪ ʌ j ə
අඥාන,ʌ ɡn aː n̪ ə
අඥෙයවාදියා,ʌ ɡn e j ʌ ʋ a d̪ i j
අඥ,ʌ ɡn ə
අටනය,ʌ ʈ ʌ n̪ ʌ j ə
අටපට්ටම්,ʌ ʈ ʌ p ʌ ʈ ʈ ʌ m
අටල්ල,ʌ ʈ ʌ l l ə
අටලුව,ʌ ʈ ʌ l u ʋ ə
අටවනවා,ʌ ʈ ʌ ʋ ʌ n̪ ə ʋ a
අටවන්නා,ʌ ʈ ʌ ʋ ʌ n̪ n̪
අටවරල්,ʌ ʈ ʌ ʋ ʌ r ʌ l
අටවරල,ʌ ʈ ʌ ʋ ʌ r ʌ l ə
අටවැනි,ʌ ʈ ʌ ʋ æ n̪ i
අටළොස,ʌ ʈ ʌ ɭ o s ə
අට්ටභාසය,ʌ ʈ ʈ ʌ bʱ aː s ʌ j ə
අට්ටහාසය,ʌ ʈ ʈ ʌ h aː s ʌ j ə
අට්ටාලය,ʌ ʈ ʈ aː l ʌ j ə
අට්ටිය,ʌ ʈ ʈ i j ə
අටිය,ʌ ʈ i j ə
අටුවාව,ʌ ʈ u ʋ a ʋ ə
අටුව,ʌ ʈ u ʋ ə
අට,ʌ ʈ ə
අඩංගු,ʌ ɖ ʌ ɡ u
අඩකවය,ʌ ɖ ʌ k ʌ ʋ ʌ j ə
අඩකවාකාර,ʌ ɖ ʌ k ʌ ʋ a k aː r ə
අඩක්,ʌ ɖ ʌ k
අඩදේවතාවා,ʌ ɖ ʌ d̪ eː ʋ ʌ t̪ aː ʋ a
අඩපණ,ʌ ɖ ʌ p ʌ ɳ ə
අඩප්පර,ʌ ɖ ʌ p p ʌ r ə
අඩමාණ,ʌ ɖ ʌ m aː ɳ ə
අඩමාන,ʌ ɖ ʌ m aː n̪ ə
අඩයාලම,ʌ ɖ ʌ j aː l ʌ m ə
අඩය,ʌ ɖ ʌ j ə
අඩවල්,ʌ ɖ ʌ ʋ ʌ l
අඩවස්,ʌ ɖ ʌ ʋ ʌ s
අඩවිය,ʌ ɖ ʌ ʋ i j ə
අඩස්සිය,ʌ ɖ ʌ s s i j ə
අඩායාළම,ʌ ɖ aː j aː ɭ ʌ m ə
අඩාල,ʌ ɖ aː l ə
අඩිකෝදුව,ʌ ɖ i k oː d̪ u ʋ ə
අඩිතාලම,ʌ ɖ i t̪ aː l ʌ m ə
අඩිපාර,ʌ ɖ i p aː r ə
අඩියාව,ʌ ɖ i j aː ʋ ə
අඩිය,ʌ ɖ i j ə
අඩි,ʌ ɖ i
අඩුක්කරනවා,ʌ ɖ u k k ʌ r ʌ n̪ ə ʋ a
අඩුක්කුව,ʌ ɖ u k k u ʋ ə
අඩුකිරීම,ʌ ɖ u k i r iː m ə
අඩුතම,ʌ ɖ u t̪ ʌ m ə
අඩුත්තුව,ʌ ɖ u t̪ t̪ u ʋ ə
අඩුපාඩුකම,ʌ ɖ u p aː ɖ u k ʌ m ə
අඩුපාඩුව,ʌ ɖ u p aː ɖ u ʋ ə
අඩුපාඩු,ʌ ɖ u p aː ɖ u
අඩුවාසි,ʌ ɖ u ʋ a s i
අඩුවීම,ʌ ɖ u ʋ iː m ə
අඩුවෙනවා,ʌ ɖ u ʋ e n̪ ə ʋ a
අඩුවෙන්,ʌ ɖ u ʋ e n̪
අඩුව,ʌ ɖ u ʋ ə
අඩු,ʌ ɖ u
අඩ,ʌ ɖ ə
අණකරය,ʌ ɳ ʌ k ʌ r ʌ j ə
අණකරු,ʌ ɳ ʌ k ʌ r u
අණක්,ʌ ɳ ʌ k
අණකිරීම,ʌ ɳ ʌ k i r iː m ə
අණපත,ʌ ɳ ʌ p ʌ t̪ ə
අණබෙරය,ʌ ɳ ʌ b e r ʌ j ə
අණලද්දා,ʌ ɳ ʌ l ʌ d̪ d̪
අණසක,ʌ ɳ ʌ s ʌ k ə
අණ්ඩකෝෂය,ʌ ɳ ɖ ʌ k oː ʂ ʌ j ə
අණ්ඩජ,ʌ ɳ ɖ ʌ ʤ ə
අණ්ඩධර,ʌ ɳ ɖ ʌ d̪ʱ ʌ r ə
අණ්ඩපය,ʌ ɳ ɖ ʌ p ʌ j ə
අණ්ඩය,ʌ ɳ ɖ ʌ j ə
අණ්ඩවාතය,ʌ ɳ ɖ ʌ ʋ a t̪ ʌ j ə
අණ්ඩාකාරය,ʌ ɳ ɖ aː k aː r ʌ j ə
අණ්ඩාකාර,ʌ ɳ ɖ aː k aː r ə
අණ්ඩාභ,ʌ ɳ ɖ aː bʱ ə
අණ්වීක්ෂණය,ʌ ɳ ʋ iː k ʂ ʌ ɳ ʌ j ə
අණ්වීක්ෂය,ʌ ɳ ʋ iː k ʂ ʌ j ə
අණ්වීක්ෂීය,ʌ ɳ ʋ iː k ʂ iː j ə
අණුක,ʌ ɳ u k ə
අණුත්වරකය,ʌ ɳ u t̪ ʋ ʌ r ʌ k ʌ j ə
අණුවිශ්වය,ʌ ɳ u ʋ i ʃ ʋ ʌ j ə
අණුව,ʌ ɳ u ʋ ə
අණු,ʌ ɳ u
අණ,ʌ ɳ ə
අඬගසනවා,ʌ ඬ ɡ ʌ s ʌ n̪ ə ʋ a
අඬනවා,ʌ ඬ n̪ ə ʋ a
අඬන,ʌ ඬ n̪ ə
අඬලනවා,ʌ ඬ l ʌ n̪ ə ʋ a
අඬුවක්,ʌ ඬ u ʋ ʌ k
අඬුව,ʌ ඬ u ʋ ə
අතංගුව,ʌ t̪ ʌ ɡ u ʋ ə
අතගානවා,ʌ t̪ ʌ ɡ aː n̪ ə ʋ a
අතතාත්වික,ʌ t̪ ʌ t̪ aː t̪ ʋ i k ə
අතථතාව,ʌ t̪ ʌ t̪ʰ ʌ t̪ aː ʋ ə
අතදරුවා,ʌ t̪ ʌ d̪ ʌ r u ʋ a
අතනට,ʌ t̪ ʌ n̪ ʌ ʈ ə
අතන,ʌ t̪ ʌ n̪ ə
අතපසුවීමකින්,ʌ t̪ ʌ p ʌ s u ʋ iː m ʌ k i n̪
අතපසුවීම,ʌ t̪ ʌ p ʌ s u ʋ iː m ə
අතරතුර,ʌ t̪ ʌ r ʌ t̪ u r ə
අතරමඟ,ʌ t̪ ʌ r ʌ m ʌ ŋɡ ə
අතරමැදියා,ʌ t̪ ʌ r ʌ m æ d̪ i j
අතරමැදි,ʌ t̪ ʌ r ʌ m æ d̪ i
අතරවාරේ,ʌ t̪ ʌ r ʌ ʋ a r eː
අතරින්,ʌ t̪ ʌ r i n̪
අතරෙන්,ʌ t̪ ʌ r e n̪
අතරෙහි,ʌ t̪ ʌ r e h i
අතරේ,ʌ t̪ ʌ r eː
අතර,ʌ t̪ ʌ r ə
අතලොස්ස,ʌ t̪ ʌ l o s s ə
අතවැස්සා,ʌ t̪ ʌ ʋ æ s s
අතවැසියා,ʌ t̪ ʌ ʋ æ s i j
අතහරිනවා,ʌ t̪ ʌ h ʌ r i n̪ ə ʋ a
අතළොස්ස,ʌ t̪ ʌ ɭ o s s ə
අත්අකුරු,ʌ t̪ ʌ k u r u
අත්කම්,ʌ t̪ k ʌ m
අත්කරත්තය,ʌ t̪ k ʌ r ʌ t̪ t̪ ʌ j ə
අත්කොට,ʌ t̪ k o ʈ ə
අත්තනෝමතික,ʌ t̪ t̪ ʌ n̪ oː m ʌ t̪ i k ə
අත්තර,ʌ t̪ t̪ ʌ r ə
අත්තලය,ʌ t̪ t̪ ʌ l ʌ j ə
අත්තික්කා,ʌ t̪ t̪ i k k
අත්තිකාරම,ʌ t̪ t̪ i k aː r ʌ m ə
අත්තිවාරම,ʌ t̪ t̪ i ʋ a r ʌ m ə
අත්තුක්කංසනය,ʌ t̪ t̪ u k k ʌ s ʌ n̪ ʌ j ə
අත්ත,ʌ t̪ t̪ ə
අත්දැකීම,ʌ t̪ d̪ æ k iː m ə
අත්දුටු,ʌ t̪ d̪ u ʈ u
අත්පටිය,ʌ t̪ p ʌ ʈ i j ə
අත්පත,ʌ t̪ p ʌ t̪ ə
අත්පාදකයා,ʌ t̪ p aː d̪ ʌ k ʌ j
අත්පිටපත,ʌ t̪ p i ʈ ʌ p ʌ t̪ ə
අත්පිට,ʌ t̪ p i ʈ ə
අත්පොත,ʌ t̪ p o t̪ ə
අත්මේස්,ʌ t̪ m eː s
අත්ල,ʌ t̪ l ə
අත්වැඩ,ʌ t̪ ʋ æ ɖ ə
අත්වැරැද්ද,ʌ t̪ ʋ æ r æ d̪ d̪ ə
අත්වැල,ʌ t̪ ʋ æ l ə
අත්වැස්ම,ʌ t̪ ʋ æ s m ə
අත්සන්කරුවෝ,ʌ t̪ s ʌ n̪ k ʌ r u ʋ oː
අත්සන,ʌ t̪ s ʌ n̪ ə
අත්හරිනවා,ʌ t̪ h ʌ r i n̪ ə ʋ a
අත්හල,ʌ t̪ h ʌ l ə
අත්හළ,ʌ t̪ h ʌ ɭ ə
අත්හැරීම්,ʌ t̪ h æ r iː m
අත්හැරීම,ʌ t̪ h æ r iː m ə
අත්හිටවීම,ʌ t̪ h i ʈ ʌ ʋ iː m ə
අත්හිටවුම,ʌ t̪ h i ʈ ʌ ʋ u m ə
අත්හිටුවනවා,ʌ t̪ h i ʈ u ʋ ʌ n̪ ə ʋ a
අත්හිටුවන,ʌ t̪ h i ʈ u ʋ ʌ n̪ ə
අත්හිටුවීම,ʌ t̪ h i ʈ u ʋ iː m ə
අත්‍යක්තිය,ʌ t̪ ‍ j ʌ k t̪ i j ə
අත්‍යක්ත,ʌ t̪ ‍ j ʌ k t̪ ə
අත්‍යණුක,ʌ t̪ ‍ j ʌ ɳ u k ə
අත්‍යත්කෘෂ්ට,ʌ t̪ ‍ j ʌ t̪ k ʌ ෘ ʂ ʈ ə
අත්‍යදාර,ʌ t̪ ‍ j ʌ d̪ aː r ə
අත්‍යධික,ʌ t̪ ‍ j ʌ d̪ʱ i k ə
අත්‍යන්තයෙන්,ʌ t̪ ‍ j ʌ n̪ t̪ ʌ j e n̪
අත්‍යන්තර,ʌ t̪ ‍ j ʌ n̪ t̪ ʌ r ə
අත්‍යන්ත,ʌ t̪ ‍ j ʌ n̪ t̪ ə
අත්‍යවශ්‍ය,ʌ t̪ ‍ j ʌ ʋ ʌ ʃ ‍ j ə
අත්‍යාචාරය,ʌ t̪ ‍ j aː ʧ aː r ʌ j ə
අත්‍යාධිකව,ʌ t̪ ‍ j aː d̪ʱ i k ʌ ʋ ə
අත්‍යානන්දනය,ʌ t̪ ‍ j aː n̪ ʌ n̪ d̪ ʌ n̪ ʌ j ə
අත්‍යානන්දය,ʌ t̪ ‍ j aː n̪ ʌ n̪ d̪ ʌ j ə
අත්‍යාරෝපකය,ʌ t̪ ‍ j aː r oː p ʌ k ʌ j ə
අත්‍යාලංකෘත,ʌ t̪ ‍ j aː l ʌ k ʌ ෘ t̪ ə
අත්‍යාවශ්‍ය,ʌ t̪ ‍ j aː ʋ ʌ ʃ ‍ j ə
අත්‍යුත්තම,ʌ t̪ ‍ j u t̪ t̪ ʌ m ə
අත්,ʌ t̪
අතාත්වික,ʌ t̪ aː t̪ ʋ i k ə
අතාපදායී,ʌ t̪ aː p ʌ d̪ aː j iː
අතාර්කණ,ʌ t̪ aː r k ʌ ɳ ə
අතාර්කිකත්වය,ʌ t̪ aː r k i k ʌ t̪ ʋ ʌ j ə
අතාර්කික,ʌ t̪ aː r k i k ə
අතිඋතුම්,ʌ t̪ i u t̪ u m
අතිකරණය,ʌ t̪ i k ʌ r ʌ ɳ ʌ j ə
අතික්ෂුධාව,ʌ t̪ i k ʂ u d̪ʱ aː ʋ ə
අතික්‍රමණ,ʌ t̪ i k ‍ r ʌ m ʌ ɳ ə
අතිකාලය,ʌ t̪ i k aː l ʌ j ə
අතිකාල,ʌ t̪ i k aː l ə
අතිච්ඡාදනය,ʌ t̪ i ʧ ʧʰ aː d̪ ʌ n̪ ʌ j ə
අතිච්ඡාදන,ʌ t̪ i ʧ ʧʰ aː d̪ ʌ n̪ ə
අතිදක්ෂ,ʌ t̪ i d̪ ʌ k ʂ ə
අතිධ්වනික,ʌ t̪ i d̪ʱ ʋ ʌ n̪ i k ə
අතිධ්වනි,ʌ t̪ i d̪ʱ ʋ ʌ n̪ i
අතින්ද්‍රිය,ʌ t̪ i n̪ d̪ ‍ r i j ə
අතිපරිශුද්ධිවාදය,ʌ t̪ i p ʌ r i ʃ u d̪ d̪ʱ i ʋ a d̪ ʌ j ə
අතිපුරාණ,ʌ t̪ i p u r aː ɳ ə
අතිපූජ්‍ය,ʌ t̪ i p uː ʤ ‍ j ə
අතිභරණය,ʌ t̪ i bʱ ʌ r ʌ ɳ ʌ j ə
අතිමහත්,ʌ t̪ i m ʌ h ʌ t̪
අතිරික්තතාව,ʌ t̪ i r i k t̪ ʌ t̪ aː ʋ ə
අතිරික්තය,ʌ t̪ i r i k t̪ ʌ j ə
අතිරික්ත,ʌ t̪ i r i k t̪ ə
අතිරේකය,ʌ t̪ i r eː k ʌ j ə
අතිරේකව,ʌ t̪ i r eː k ʌ ʋ ə
අතිරේක,ʌ t̪ i r eː k ə
අතිරෝහණක,ʌ t̪ i r oː h ʌ ɳ ʌ k ə
අතිලෝභී,ʌ t̪ i l oː bʱ iː
අතිවාචනය,ʌ t̪ i ʋ a ʧ ʌ n̪ ʌ j ə
අතිවැස්ම,ʌ t̪ i ʋ æ s m ə
අතිවිතාව,ʌ t̪ i ʋ i t̪ aː ʋ ə
අතිවිශාල,ʌ t̪ i ʋ i ʃ aː l ə
අතිවිස්තරය,ʌ t̪ i ʋ i s t̪ ʌ r ʌ j ə
අතිවෘද්ධිය,ʌ t̪ i ʋ ʌ ෘ d̪ d̪ʱ i j ə
